player_id,player,known_name,team,fpl_team_logo_url,position,season,fpl_minutes,fpl_goals,fpl_assists,fpl_clean_sheets,fpl_goals_conceded,fpl_saves,fpl_price_gbp,photo_url,tm_player_id,date_of_birth,market_value_gbp,val_club_id,val_club_name,transfermarkt_club_id
1,David Raya Martín,Raya,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Goalkeeper,2026-27,450,0,0,3,4,9,6100000,https://resources.premierleague.com/premierleague/photos/players/110x140/p154561.png,262749.0,1995-09-15,25800000.0,11,Arsenal FC,11
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Goalkeeper,2026-27,0,0,0,0,0,0,4900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p109745.png,192279.0,1994-10-03,4300000.0,11,Arsenal FC,11
3,Illan Meslier,Meslier,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Goalkeeper,2026-27,0,0,0,0,0,0,4900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p437495.png,542586.0,2000-03-02,6880000.0,399,Leeds United,399
4,Gabriel dos Santos Magalhães,Gabriel,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,450,0,0,3,4,0,8000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p226597.png,655488.0,2001-06-18,38700000.0,11,Arsenal FC,11
5,Jurriën Timber,J.Timber,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,104,0,0,0,3,0,6500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p445122.png,420243.0,2001-06-17,60200000.0,11,Arsenal FC,11
6,William Saliba,Saliba,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,0,0,0,0,0,0,5900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p462424.png,495666.0,2001-03-24,86000000.0,11,Arsenal FC,11
7,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,271,0,0,2,1,0,5400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p499169.png,890721.0,2006-09-26,38700000.0,11,Arsenal FC,11
8,Riccardo Calafiori,Calafiori,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,416,0,2,3,4,0,5800000,https://resources.premierleague.com/premierleague/photos/players/110x140/p466075.png,502821.0,2002-05-19,47300000.0,11,Arsenal FC,11
9,Piero Hincapié,Hincapie,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,32,0,0,0,0,0,5200000,,659813.0,2002-01-09,43000000.0,11,Arsenal FC,11
10,Benjamin White,White,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,315,0,1,2,1,0,5500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p198869.png,335721.0,1997-10-08,25800000.0,11,Arsenal FC,11
11,Cristhian Mosquera,Mosquera,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,168,0,0,2,0,0,5300000,,646750.0,2004-06-27,34400000.0,11,Arsenal FC,11
12,Bukayo Saka,Saka,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,416,3,0,3,4,0,9500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p223340.png,433177.0,2001-09-05,94600000.0,11,Arsenal FC,11
13,Declan Rice,Rice,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,411,0,2,3,4,0,7400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p204480.png,357662.0,1999-01-14,103200000.0,11,Arsenal FC,11
14,Eberechi Eze,Eze,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,85,0,0,0,0,0,6300000,https://resources.premierleague.com/premierleague/photos/players/110x140/p232413.png,479999.0,1998-06-29,55900000.0,11,Arsenal FC,11
15,Martin Ødegaard,Ødegaard,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,377,2,0,3,4,0,6800000,https://resources.premierleague.com/premierleague/photos/players/110x140/p184029.png,316264.0,1998-12-17,55900000.0,11,Arsenal FC,11
16,Noni Madueke,Madueke,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,23,0,0,0,0,0,6200000,https://resources.premierleague.com/premierleague/photos/players/110x140/p248857.png,503987.0,2002-03-10,43000000.0,11,Arsenal FC,11
17,Mikel Merino Zazón,Merino,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,81,0,0,0,0,0,5800000,https://resources.premierleague.com/premierleague/photos/players/110x140/p195384.png,338424.0,1996-06-22,21500000.0,11,Arsenal FC,11
18,Gabriel Martinelli Silva,Martinelli,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,0,0,0,0,0,0,6300000,https://resources.premierleague.com/premierleague/photos/players/110x140/p444145.png,655488.0,2001-06-18,38700000.0,11,Arsenal FC,11
19,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,89,0,0,0,0,0,5300000,,423440.0,1999-02-02,64500000.0,11,Arsenal FC,11
20,Max Dowman,Dowman,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,9,0,0,0,0,0,5300000,,1187629.0,2009-12-31,25800000.0,11,Arsenal FC,11
22,Ethan Nwaneri,Nwaneri,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,0,0,0,0,0,0,5400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p499175.png,890719.0,2007-03-21,30100000.0,244,Olympique Marseille,244
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,0,0,0,0,0,0,5500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p438098.png,537598.0,2000-05-30,15480000.0,41,Hamburger SV,41
24,Reiss Nelson,Nelson,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,0,0,0,0,0,0,5500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p200641.png,340325.0,1999-12-10,6880000.0,1148,Brentford FC,1148
25,Viktor Gyökeres,Gyökeres,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Forward,2026-27,29,0,0,0,0,0,7100000,https://resources.premierleague.com/premierleague/photos/players/110x140/p224117.png,325443.0,1998-06-04,55900000.0,11,Arsenal FC,11
26,Kai Havertz,Havertz,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Forward,2026-27,437,2,0,3,4,0,7600000,https://resources.premierleague.com/premierleague/photos/players/110x140/p219847.png,309400.0,1999-06-11,47300000.0,11,Arsenal FC,11
27,Gabriel Fernando de Jesus,G.Jesus,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Forward,2026-27,0,0,0,0,0,0,5900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p205651.png,363205.0,1997-04-03,14620000.0,11,Arsenal FC,11
31,Ezri Konsa Ngoyo,Konsa,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,281,0,0,1,4,0,4600000,https://resources.premierleague.com/premierleague/photos/players/110x140/p199798.png,413403.0,1997-10-23,34400000.0,405,Aston Villa,405
452,Bruno Guimarães Rodriguez Moura,Bruno G.,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,123,1,0,0,3,0,6700000,https://resources.premierleague.com/premierleague/photos/players/110x140/p208706.png,520624.0,1997-11-16,60200000.0,762,Newcastle United,762
557,Christos Tzolis,Tzolis,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,362,0,2,2,4,0,6300000,https://resources.premierleague.com/premierleague/photos/players/110x140/p439509.png,451677.0,2002-01-30,34400000.0,2282,Club Brugge KV,2282
29,Marco Bizot,M.Bizot,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Goalkeeper,2026-27,90,0,0,0,4,3,4500000,,124884.0,1991-03-10,1290000.0,405,Aston Villa,405
30,Lucas Digne,Digne,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Defender,2026-27,0,0,0,0,0,0,4500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p101188.png,126664.0,1993-07-20,5160000.0,405,Aston Villa,405
32,Matty Cash,Cash,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Defender,2026-27,296,0,0,1,7,0,4400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p199796.png,425334.0,1997-08-07,18920000.0,405,Aston Villa,405
33,Tyrone Mings,Mings,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Defender,2026-27,261,0,0,1,4,0,4500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p149484.png,253677.0,1993-03-13,2580000.0,405,Aston Villa,405
34,Pau Torres,Pau,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Defender,2026-27,187,0,0,0,5,0,4500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p244954.png,399776.0,1997-01-16,17200000.0,405,Aston Villa,405
35,Lamare Bogarde,Bogarde,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,16,0,0,0,0,0,4900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p515597.png,645686.0,2004-01-05,15480000.0,405,Aston Villa,405
36,Ian Maatsen,Maatsen,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Defender,2026-27,335,0,0,1,7,0,4400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p441302.png,485585.0,2002-03-10,25800000.0,405,Aston Villa,405
37,Victor Lindelöf,Lindelöf,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Defender,2026-27,450,0,0,1,9,0,4500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p184667.png,184573.0,1994-07-17,4300000.0,405,Aston Villa,405
38,Andrés García,A.García,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Defender,2026-27,0,0,0,0,0,0,4000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p606798.png,1063329.0,2003-02-07,5160000.0,405,Aston Villa,405
39,Kosta Nedeljkovic,Nedeljkovic,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Defender,2026-27,0,0,0,0,0,0,4000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p578545.png,848682.0,2005-12-16,5160000.0,23826,RB Leipzig,23826
41,Emiliano Buendía Stati,Buendía,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,401,1,0,1,8,0,5900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p195546.png,321247.0,1996-12-25,13760000.0,405,Aston Villa,405
44,Leon Bailey,Bailey,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,0,0,0,0,0,0,5400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p215711.png,1300041.0,2007-11-30,,,,
45,John McGinn,McGinn,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,434,0,2,2,7,0,5400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p122806.png,193116.0,1994-10-18,11180000.0,405,Aston Villa,405
46,Ross Barkley,Barkley,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,308,0,0,1,8,0,5000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p88894.png,131978.0,1993-12-05,3440000.0,405,Aston Villa,405
47,Boubacar Kamara,Kamara,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,443,0,1,2,7,0,5000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p226944.png,394327.0,1999-11-23,34400000.0,405,Aston Villa,405
48,Amadou Onana,Onana,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,0,0,0,0,0,0,4900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p449871.png,485706.0,2001-08-16,38700000.0,405,Aston Villa,405
49,Samuel Iling-Junior,Iling Jr,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,0,0,0,0,0,0,5000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p469247.png,581672.0,2003-10-04,5590000.0,4172,Pisa Sporting Club,4172
50,Bradley Burrowes,Burrowes,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,0,0,0,0,0,0,4500000,,1202361.0,2008-03-04,1720000.0,,,
51,George Hemmings,George Hemmings,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,297,0,0,1,7,0,4500000,,1023191.0,2007-04-03,,,,
52,Alysson Edward Franco da Rocha dos Santos,Alysson,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,87,1,0,0,2,0,5000000,,1005583.0,2006-05-05,8600000.0,405,Aston Villa,405
53,Johan Manzambi,Manzambi,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,98,1,1,1,1,0,5900000,,927353.0,2005-10-14,43000000.0,60,SC Freiburg,60
54,Joao Gomes,Gomes,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,129,0,0,0,6,0,5500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p448089.png,735570.0,2001-02-12,34400000.0,543,Wolverhampton Wanderers,543
55,Ollie Watkins,Watkins,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Forward,2026-27,0,0,0,0,0,0,7800000,https://resources.premierleague.com/premierleague/photos/players/110x140/p178301.png,324358.0,1995-12-30,21500000.0,405,Aston Villa,405
56,Tammy Abraham,Abraham,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Forward,2026-27,71,0,0,0,3,0,5500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p173879.png,331726.0,1997-10-02,15480000.0,405,Aston Villa,405
160,Alejandro Garnacho Ferreyra,Garnacho,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,31,0,0,0,0,0,5800000,https://resources.premierleague.com/premierleague/photos/players/110x140/p493105.png,811779.0,2004-07-01,24080000.0,631,Chelsea FC,631
166,Nicolas Jackson,N.Jackson,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Forward,2026-27,286,1,0,1,2,0,6500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p517052.png,776890.0,2001-06-20,34400000.0,27,Bayern Munich,27
582,Brian Madjo,Madjo,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Forward,2026-27,0,0,0,0,0,0,5400000,,1226357.0,2009-01-12,10320000.0,,,
596,Matteo Ruggeri,Ruggeri,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Defender,2026-27,113,0,0,0,2,0,4500000,,616631.0,2002-07-11,24080000.0,13,Atlético de Madrid,13
597,Zion Suzuki,Suzuki,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Goalkeeper,2026-27,360,0,0,1,5,15,5000000,,432298.0,2002-08-21,17200000.0,130,Parma Calcio 1913,130
606,Triston Rowe,Rowe,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Defender,2026-27,0,0,0,0,0,0,4000000,,984593.0,2006-10-02,430000.0,,,
607,Luka Lynch,Lynch,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,0,0,0,0,0,0,4500000,,,,,,,
611,Aaron Wan-Bissaka,Wan-Bissaka,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Defender,2026-27,152,0,0,0,2,0,4500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p214590.png,477758.0,1997-11-26,12900000.0,379,West Ham United,379
618,Leon Goretzka,Goretzka,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,0,0,0,0,0,0,5900000,,1300041.0,2007-11-30,,,,
630,Taylor Harwood-Bellis,Harwood-Bellis,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Defender,2026-27,0,0,0,0,0,0,4500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p245719.png,67416.0,1989-02-07,430000.0,405,Aston Villa,405
631,Ibrahim Mbaye,Mbaye,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Midfielder,2026-27,33,0,0,0,3,0,6000000,,1185888.0,2008-01-24,25800000.0,583,Paris Saint-Germain,583
667,James Wright,Wright,Aston Villa,https://resources.premierleague.com/premierleague/badges/70/t7.png,Goalkeeper,2026-27,0,0,0,0,0,0,4000000,,712181.0,2004-12-02,172000.0,,,
57,Đorđe Petrović,Petrović,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Goalkeeper,2026-27,450,0,0,0,8,11,4500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p457569.png,465555.0,1999-10-08,24080000.0,989,AFC Bournemouth,989
58,Fraser Forster,Forster,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Goalkeeper,2026-27,0,0,0,0,0,0,4000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p40383.png,52570.0,1988-03-17,344000.0,989,AFC Bournemouth,989
59,Will Dennis,Dennis,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Goalkeeper,2026-27,0,0,0,0,0,0,4000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p444172.png,582078.0,2000-07-10,301000.0,989,AFC Bournemouth,989
60,James Hill,Hill,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Defender,2026-27,450,0,0,0,8,0,5500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p463981.png,611793.0,2002-01-10,19780000.0,989,AFC Bournemouth,989
61,Adrien Truffert,Truffert,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Defender,2026-27,450,0,0,0,8,0,5400000,,654539.0,2001-11-20,25800000.0,989,AFC Bournemouth,989
62,Bafodé Diakité,Diakité,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Defender,2026-27,0,0,0,0,0,0,4900000,,463605.0,2001-01-06,21500000.0,989,AFC Bournemouth,989
63,Veljko Milosavljevic,Milosavljević,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Defender,2026-27,0,0,0,0,0,0,4900000,,989112.0,2007-06-28,17200000.0,989,AFC Bournemouth,989
64,Adam Smith,Smith,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Defender,2026-27,434,0,0,0,8,0,4500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p54469.png,61841.0,1991-04-29,258000.0,989,AFC Bournemouth,989
65,Julián Araujo Zúñiga,J.Araujo,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Defender,2026-27,0,0,0,0,0,0,4400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p436893.png,513970.0,2001-08-13,6880000.0,371,Celtic FC,371
66,Julio Soler Barreto,Soler,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Defender,2026-27,0,0,0,0,0,0,4000000,,1009658.0,2005-02-16,6880000.0,989,AFC Bournemouth,989
67,Rayan Vitor Simplício Rocha,Rayan,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Midfielder,2026-27,434,0,0,0,7,0,6300000,,1012564.0,2006-08-03,51600000.0,989,AFC Bournemouth,989
68,Marcus Tavernier,Tavernier,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Midfielder,2026-27,424,3,0,0,8,0,6100000,https://resources.premierleague.com/premierleague/photos/players/110x140/p201658.png,399434.0,1999-03-22,21500000.0,989,AFC Bournemouth,989
69,Alex Scott,Scott,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Midfielder,2026-27,446,1,2,1,7,0,6100000,https://resources.premierleague.com/premierleague/photos/players/110x140/p503139.png,855256.0,2003-08-21,43000000.0,989,AFC Bournemouth,989
70,Justin Kluivert,Kluivert,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Midfielder,2026-27,294,1,0,2,3,0,6000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p222683.png,330659.0,1999-05-05,21500000.0,989,AFC Bournemouth,989
71,Lewis Cook,Cook,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Midfielder,2026-27,180,0,0,2,1,0,5000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p155408.png,249089.0,1997-02-03,9460000.0,989,AFC Bournemouth,989
72,Ben Gannon-Doak,Gannon-Doak,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Midfielder,2026-27,12,0,0,0,1,0,4900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p496208.png,183302.0,1995-01-04,1892000.0,989,AFC Bournemouth,989
73,Tyler Adams,Adams,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Midfielder,2026-27,279,0,0,0,7,0,5000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p200785.png,332705.0,1999-02-14,21500000.0,989,AFC Bournemouth,989
74,David Brooks,Brooks,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Midfielder,2026-27,45,0,0,0,2,0,5000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p111317.png,277033.0,1997-07-08,10320000.0,989,AFC Bournemouth,989
75,Ryan Christie,Christie,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Midfielder,2026-27,102,0,0,0,2,0,5000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p158499.png,188077.0,1995-02-22,6880000.0,989,AFC Bournemouth,989
76,Alex Tóth,Tóth.A,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Midfielder,2026-27,17,0,0,0,2,0,4900000,,998101.0,2005-10-23,10320000.0,989,AFC Bournemouth,989
77,Amine Adli,Adli,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Midfielder,2026-27,0,0,0,0,0,0,4900000,,532776.0,2000-05-10,17200000.0,989,AFC Bournemouth,989
78,Junior Kroupi,Kroupi.Jr,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Midfielder,2026-27,0,0,0,0,0,0,7400000,,955357.0,2006-06-23,60200000.0,989,AFC Bournemouth,989
79,Francisco Evanilson de Lima Barbosa,Evanilson,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Forward,2026-27,424,0,3,2,5,0,6000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p444102.png,711337.0,1999-10-06,30100000.0,989,AFC Bournemouth,989
80,Enes Ünal,Enes Ünal,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Forward,2026-27,0,0,0,0,0,0,5500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p168636.png,251106.0,1997-05-10,6020000.0,989,AFC Bournemouth,989
81,Álvaro Rodríguez,Rodríguez,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Forward,2026-27,10,0,0,0,1,0,6000000,,948275.0,2004-07-14,8600000.0,1531,Elche CF,1531
566,António João Pereira de Albuquerque Tavares da Silva,Silva,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Defender,2026-27,450,0,0,0,8,0,5000000,,650568.0,2003-10-30,21500000.0,294,SL Benfica,294
573,Juanlu Sánchez,Sanchez,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Defender,2026-27,0,0,0,0,0,0,4400000,,676042.0,2003-08-15,8600000.0,368,Sevilla FC,368
608,Daniel Jebbison,Jebbison,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Forward,2026-27,31,0,0,0,2,0,5000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p523700.png,746740.0,2003-08-13,5160000.0,,,
615,Michele Di Gregorio,Di Gregorio,Bournemouth,https://resources.premierleague.com/premierleague/badges/70/t91.png,Goalkeeper,2026-27,0,0,0,0,0,0,4500000,,301238.0,1997-07-27,8600000.0,506,Juventus FC,506
82,Caoimhín Kelleher,Kelleher,Brentford,https://resources.premierleague.com/premierleague/badges/70/t94.png,Goalkeeper,2026-27,450,0,0,2,4,17,5000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p200720.png,340918.0,1998-11-23,24080000.0,1148,Brentford FC,1148
83,Hákon Rafn Valdimarsson,Valdimarsson,Brentford,https://resources.premierleague.com/premierleague/badges/70/t94.png,Goalkeeper,2026-27,0,0,0,0,0,0,4500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p507433.png,488935.0,2001-10-13,2150000.0,1148,Brentford FC,1148
84,Nathan Collins,Collins,Brentford,https://resources.premierleague.com/premierleague/badges/70/t94.png,Defender,2026-27,196,0,0,1,1,0,5400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p432830.png,469050.0,2001-04-30,25800000.0,1148,Brentford FC,1148
85,Sepp van den Berg,Van den Berg,Brentford,https://resources.premierleague.com/premierleague/badges/70/t94.png,Defender,2026-27,0,0,0,0,0,0,4900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p444765.png,541231.0,2001-12-20,27520000.0,1148,Brentford FC,1148
86,Keane Lewis-Potter,Lewis-Potter,Brentford,https://resources.premierleague.com/premierleague/badges/70/t94.png,Midfielder,2026-27,406,1,1,2,4,0,5500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p249231.png,644401.0,2001-02-22,21500000.0,1148,Brentford FC,1148
87,Kristoffer Ajer,Ajer,Brentford,https://resources.premierleague.com/premierleague/badges/70/t94.png,Defender,2026-27,450,0,0,2,4,0,4500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p191866.png,328658.0,1998-04-17,15480000.0,1148,Brentford FC,1148
88,Michael Kayode,Kayode,Brentford,https://resources.premierleague.com/premierleague/badges/70/t94.png,Defender,2026-27,294,1,0,2,1,0,4600000,https://resources.premierleague.com/premierleague/photos/players/110x140/p607464.png,823486.0,2004-07-10,34400000.0,1148,Brentford FC,1148
89,Rico Henry,Henry,Brentford,https://resources.premierleague.com/premierleague/badges/70/t94.png,Defender,2026-27,2,0,0,0,0,0,4400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p194010.png,339556.0,1997-07-08,11180000.0,1148,Brentford FC,1148
90,Aaron Hickey,Hickey,Brentford,https://resources.premierleague.com/premierleague/badges/70/t94.png,Defender,2026-27,152,0,0,0,3,0,4500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p472713.png,591949.0,2002-06-10,13760000.0,1148,Brentford FC,1148
92,Kim Ji-soo,Ji-soo,Brentford,https://resources.premierleague.com/premierleague/badges/70/t94.png,Defender,2026-27,0,0,0,0,0,0,4400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p570241.png,,,,,,
93,Jannik Schuster,Schuster,Brentford,https://resources.premierleague.com/premierleague/badges/70/t94.png,Defender,2026-27,253,0,1,1,3,0,4500000,,915418.0,2006-05-16,15480000.0,409,Fußballclub Red Bull Salzburg,409
94,Kevin Schade,Schade,Brentford,https://resources.premierleague.com/premierleague/badges/70/t94.png,Midfielder,2026-27,447,3,2,2,4,0,6200000,https://resources.premierleague.com/premierleague/photos/players/110x140/p513418.png,473050.0,2001-11-27,30100000.0,1148,Brentford FC,1148
